EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
Phylloscopus nitidus,2.68E-04,,,,,,,Phylloscopus nitidus,1.58E-04
Phylloscopus plumbeitarsus,1.57E-04,,,,,,,Phylloscopus plumbeitarsus,4.75E-05
Phylloscopus proregulus,7.58E-05,,,,,,,Phylloscopus proregulus,1.58E-05
Phylloscopus schwarzi,9.91E-05,,,,,TRUE,,,
Phylloscopus sibilatrix,0.001732041,,,,,,,Phylloscopus sibilatrix,0.001978286
Phylloscopus trochiloides,5.83E-05,,,,,,,Phylloscopus trochiloides,1.58E-05
Phylloscopus trochilus,0.084298494,,,,,,,Phylloscopus trochilus,0.105545532
Pica pica,0.567118047,,,,,,,Pica pica,0.517852056
Picus viridis,0.113929809,,,,,,,Picus viridis,0.126800241
Platalea leucorodia,0.010573031,,,,,,,Platalea leucorodia,0.008324629
Plectrophenax nivalis,0.003563222,,,,,,,Plectrophenax nivalis,0.002057418
Plegadis falcinellus,0.002898399,,,,,,,Plegadis falcinellus,0.001392714
Pluvialis apricaria,0.02567153,,,,,,,Pluvialis apricaria,0.022710727
Pluvialis dominica,2.80E-04,,,,,,,Pluvialis dominica,1.58E-04
Pluvialis fulva,8.63E-04,,,,,,,Pluvialis fulva,6.96E-04
Pluvialis squatarola,0.018486768,,,,,,,Pluvialis squatarola,0.017852056
Podiceps auritus,0.002875071,,,,,,,Podiceps auritus,0.002769601
Podiceps cristatus,0.142826318,,,,,,,Podiceps cristatus,0.131848827
Podiceps grisegena,0.001242171,,,,,,,Podiceps grisegena,9.97E-04
Podiceps nigricollis,0.002595146,,,,,,,Podiceps nigricollis,0.002801253
Podilymbus podiceps,7.58E-05,,,,,,,Podilymbus podiceps,1.58E-05
Poecile montanus,0.004589617,,,,,,,Poecile montanus,0.008166366
Poecile palustris,0.017110466,,,,,,,Poecile palustris,0.023043079
Porzana porzana,8.16E-05,,,,,,,Porzana porzana,3.17E-05
Prunella modularis,0.393651516,,,,,,,Prunella modularis,0.398949134
,,,,,TRUE,,,Psittacara holochlorus,3.17E-05
,,,,,TRUE,,,Psittacula eupatria,1.58E-05
Psittacula krameri,0.08330709,,,,,,,Psittacula krameri,0.041559839
Pterodroma feae,4.67E-05,,,,,TRUE,,,
Pterodroma mollis,1.17E-05,,,,,,,Pterodroma mollis,3.17E-05
Puffinus mauretanicus,8.98E-04,,,,,,,Puffinus mauretanicus,4.11E-04
Puffinus puffinus,0.006024237,,,,,,,Puffinus puffinus,0.003829962
Pyrrhocorax pyrrhocorax,0.004817057,,,,,,,Pyrrhocorax pyrrhocorax,0.004035704
Pyrrhula pyrrhula,0.090585162,,,,,,,Pyrrhula pyrrhula,0.097474124
Rallus aquaticus,0.031491655,,,,,,,Rallus aquaticus,0.034817839
Recurvirostra avosetta,0.038186547,,,,,,,Recurvirostra avosetta,0.033393473
Regulus ignicapilla,0.006228349,,,,,,,Regulus ignicapilla,0.004605451
Regulus regulus,0.129547337,,,,,,,Regulus regulus,0.128066344
Remiz pendulinus,5.25E-05,,,,,TRUE,,,
Riparia riparia,0.070926205,,,,,,,Riparia riparia,0.074415219
Rissa tridactyla,0.024639304,,,,,,,Rissa tridactyla,0.01753553
,,,,,,TRUE,,Saxicola maurus,1.58E-05
Saxicola rubetra,0.00649078,,,,,,,Saxicola rubetra,0.005555028
Saxicola rubicola,0.072599928,,,,,,,Saxicola rubicola,0.071297439
